Categoria| Pergunta| Opções| Resposta| Status
História e Origens| Qual foi o primeiro nome da RaussTuna?| Grupo IG; Grupo de Cantares; Tuna de Bragança; Grupo Académico| Grupo IG| Ok
História e Origens| Antes de adotar o nome RaussTuna, qual era o nome do grupo?| Grupo IG; Grupo de Cantares; Tuna de Bragança; Grupo Académico| Grupo de Cantares| Ok
História e Origens| Em que ano foi fundado o Grupo de Cantares e a RaussTuna?| 2009 e 2012; 2009 e 2011; 2010 e 2012; 2010 e 2013| 2009 e 2012| Ok
História e Origens| Quando foi oficializada a alteração para Tuna?| 29/10/09; 15/03/11; 01/01/13; 12/12/12| 12/12/12| Ok
História e Origens| Qual foi o local da primeira atuação do Grupo IG?| Centro Académico; Jantar do Curso IG; Anfiteatro; Nerba| Jantar do Curso IG| Ok
História e Origens| Onde foi a primeira atuação da RaussTuna?| Lagoa Azul; O Borralho; Polis; Anfiteatro do IPB| O Borralho| Ok
História e Origens| Onde acontece o batismo dos novos membros da RaussTuna?| Azibo; Anfiteatro do IPB; Castelo de Bragança; Pólis| Azibo| Ok
História e Origens| Onde foi a primeira atuação fora de Bragança?| Arcos de Valdevez; Seia; Gouveia; Aveiro| Arcos de Valdevez| Ok
História e Origens| Quem foram os três fundadores iniciais?| Major, Conde, Obi; Sticks, Duque, Torres; Obi, Zé, Pablo; Obi, Sticks, Torres| Obi, Sticks, Torres| Ok
História e Origens| O que significa IG no símbolo do bandolim?| Império Geral; Identidade e Gestão; Informática de Gestão; Instituto Geral| Informática de Gestão| Ok
História e Origens| Quantas salas administrativas a RaussTuna teve?| 2; 3; 4; 5| 3| Ok
História e Origens| Quais foram os primeiros cinco originais da RaussTuna?| Febres Altas, Serenata Menina, Hino do Caloiro, Sempre Bragança, A Aventura Começou; Sempre Bragança, Hino do Caloiro, Febres Altas, A Tuna!, Serenata Menina; Febres Altas, A Tuna!, A Aventura Começou, Azevinho, Lua Feiticeira; Azevinho, Febres Altas, Hino do Caloiro, Hino da RaussTuna, Lua Feiticeira| Febres Altas, Serenata Menina, Hino do Caloiro, Sempre Bragança, A Aventura Começou| Ok
História e Origens| Onde foi criada a primeira música?| Bragança; Centro Académico; 1ª saída de Bragança; Gouveia| 1ª saída de Bragança| Ok
História e Origens| O que são os Honorários?| São Veteranos Nomeados; São membros da Ordem Honorífica com Títulos Honoríficos; São pessoas da comunidade que contribuiram de forma significativa com a RaussTuna; São patrocinadores importantes da RaussTuna| São pessoas da comunidade que contribuiram de forma significativa com a RaussTuna| Ok
História e Origens| Quais são os símbolos oficiais da Tuna Mista de Bragança?| Bengala, Chapéu, Pin, Chave; Emblema, Bandeira, Lobo Rauss; Emblema, Bandeira, Lobo Rauss, Logotipo do Rauss&Tunas, Logotipo das JIT; Bengala, Chapéu, Pin| Emblema, Bandeira, Lobo Rauss, Logotipo do Rauss&Tunas, Logotipo das JIT| Ok
História e Origens| Quais são os símbolos dos Fundadores?| Pin de Fundador, Livro dos Fundadores, Chave da Ordem Honorífica e Emblema da RaussTuna; Pin de Fundador e Livro dos Fundadores; Pin de Fundador e Livro A TUNA! Uma Década de Histórias; Pin da Ordem Honorífica e Chave da Ordem Honorífica| Pin de Fundador e Livro dos Fundadores| Ok
História e Origens| Onde é usado o Pin de Fundador?| Gola direita; Gola esquerda; Bolso direito; Bolso esquerdo| Gola direita| Ok
História e Origens| Entre os seguintes membros, quem já foi Presidente de Conselho de Mestres?| Major; Zé Fadista; Caxias; Torres| Major| Ok
Hierarquia e Membros| Quem foram os membros que decidiram trajar primeiro pela tuna em vez de pela academia e receberam o batismo do PCV no Azibo?| Conde, Drácula, Nandinho, Rato, Zé Fadista; Conde, Drácula, Rauss, Rato, Zé Fadista; Conde, Drácula, Nandinho, Rato, Zé Fausto; Duque, Drácula, Nandinho, Rato, Zé Fausto |Conde, Drácula, Nandinho, Rato, Zé Fadista| Ok
Hierarquia e Membros| O que significa PCV?| Padrinho do Conselho de Veteranos; Presidente Coordenador de Veteranos; Padrinho Coordenador de Veteranos; Presidente do Conselho de Veteranos| Presidente do Conselho de Veteranos| Ok
Hierarquia e Membros| Quem foi o primeiro PCV não fundador?| Frodo; Fausto Martins de Melo; La Féria; Inem| Fausto Martins de Melo| Ok
Hierarquia e Membros| Quem foi o primeiro PCV da tuna?| Duque; Hóstias; Obi; Torres| Hóstias| Ok
Hierarquia e Membros| Quem são por ordem os 5 primeiros fundadores em nomes antigos? | Obi, Sticks, Conde, Major, Duque; Peito de Rola, Stuart, Lulu, Conde, Pimpolho; Stuart, Peito de Rola, Lulu, Conde, Pimpolho; Stuart, Pimpolho, Peito de Rola, Lulu, Conde | Stuart, Peito de Rola, Lulu, Conde, Pimpolho| Ok
Hierarquia e Membros| Quem foi o primeiro Presidente da Mesa da Assembleia Geral?| DeBorla; Major; Mini; Duque| Major| Ok
Hierarquia e Membros| Qual hierarquia é representada pelo botão azul?| Caloiro; Criadage; Veterano; Tuno| Caloiro| Ok
Hierarquia e Membros| Quantos votos têm os Tunos na Reunião das Côrtes?| 6; 10; 5; 8| 5| Ok
Hierarquia e Membros| Quantos votos têm os Veteranos na Reunião das Côrtes?| 9; 10; 11; 12| 10| Ok
Hierarquia e Membros| Qual hierarquia tem um botão preto?| Tuno; Caloiro; PCV; Veterano| Veterano| Ok
